TL Name,TL Reference,Monitored Object Name,Monitored Object Reference,Monitored Object Last Sample,Object Name Similarity %,TL Polling Frequency,Monitored Object Unit
HS_RM5201E_EAV_DP_TL,5606.490624.TL6,HS_RM5201E_EAV_DP,490624.AI3.Present_Value,2020-06-02 14:27:59,85.0,30000,Pa
HS_RM5201E_EAV_FBK_TL,5606.490624.TL7,HS_RM5201E_EAV_FBK,490624.AI4.Present_Value,2020-06-02 14:28:00,86.0,30000,L/s
HS_RM5201E_RMDP_TL,5606.490624.TL8,HS_RM5201E_RMDP,490624.AI5.Present_Value,2020-06-02 14:28:01,83.0,30000,Pa
HS_RM5201E_SAT_TL,5606.490624.TL9,HS_RM5201E_SAT,490624.AI6.Present_Value,2020-06-02 14:27:54,82.0,30000,°C
HS_RM5201E_RMT_SP_TL,5606.490624.TL10,HS_RM5201E_RMT_SP,490624.AV1.Present_Value,2020-06-02 14:28:23,85.0,30000,°C
HS_RM5201E_EXH_FLOW_SP_OCC_MIN_AV_TL,5606.490624.TL11,HS_RM5201E_EXH_FLOW_SP_OCC_MIN_AV,490624.AV3.Present_Value,2020-06-02 14:28:26,92.0,1000,L/s
HS_RM5201E_EXH_FLOW_SP_OCC_MAX_AV_TL,5606.490624.TL12,HS_RM5201E_EXH_FLOW_SP_OCC_MAX_AV,490624.AV4.Present_Value,2020-06-02 14:28:27,92.0,1000,L/s
HS_RM5201E_EXH_FLOW_SP_UNOCC_AV_TL,5606.490624.TL13,HS_RM5201E_EXH_FLOW_SP_UNOCC_AV,490624.AV5.Present_Value,2020-06-02 14:28:19,91.0,1000,L/s
HS_RM5201E_EXH_FLOW_SP_AV_TL,5606.490624.TL14,HS_RM5201E_EXH_FLOW_SP_AV,490624.AV6.Present_Value,2020-06-02 14:28:20,89.0,30000,L/s
HS_RM5201E_SUP_FLOW_OFFSET_SETPOINT_AV_TL,5606.490624.TL15,HS_RM5201E_SUP_FLOW_OFFSET_SETPOINT_AV,490624.AV8.Present_Value,2020-06-02 14:28:22,93.0,30000,L/s
HS_RM5201E_SUP_FLOW_SETPOINT_AV_TL,5606.490624.TL16,HS_RM5201E_SUP_FLOW_SETPOINT_AV,490624.AV9.Present_Value,2020-06-02 14:28:23,91.0,30000,L/s
HS_RM5201E_RMT_XFER_AV_TL,5606.490624.TL17,HS_RM5201E_RMT_XFER_AV,490624.AV13.Present_Value,2020-06-02 14:28:25,88.0,30000,°C
HS_RM5201E_SUPPLY_CALCULATED_AV_TL,5606.490624.TL18,HS_RM5201E_SUPPLY_CALCULATED_AV,490624.AV30.Present_Value,2020-06-02 14:28:20,91.0,30000,L/s
HS_RM5201E_EXHAUST_CALCULATED_AV_TL,5606.490624.TL19,HS_RM5201E_EXHAUST_CALCULATED_AV,490624.AV31.Present_Value,2020-06-02 14:28:21,91.0,30000,L/s
HS_RM5201E_SAT_SP_TL,5606.490624.TL20,HS_RM5201E_SAT_SP,490624.AV32.Present_Value,2020-06-02 14:28:22,85.0,30000,°C
HS_RM5201E_TOTAL_OFFSET_CALCULATED_AV_TL,5606.490624.TL21,HS_RM5201E_TOTAL_OFFSET_CALCULATED_AV,490624.AV36.Present_Value,2020-06-02 14:28:24,93.0,30000,L/s
HS_RM5201E_RMT_HEATING_CO_TL,5606.490624.TL22,HS_RM5201E_RMT_HEATING_CO,490624.CO1.Present_Value,2020-06-02 14:28:50,89.0,500,Units not found
HS_RM5201E_SAV_SAT_CO_TL,5606.490624.TL23,HS_RM5201E_SAV_SAT_CO,490624.CO2.Present_Value,2020-06-02 14:28:51,88.0,500,Units not found
HS_RM5201G_SAV_MOD_TL,5606.490625.TL1,HS_RM5201G_SAV_MOD,490625.AO4.Present_Value,2020-06-02 14:30:00,86.0,30000,%
HS_RM5201G_SAV_RHC_MOD_TL,5606.490625.TL2,HS_RM5201G_SAV_RHC_MOD,490625.AO5.Present_Value,2020-06-02 14:30:01,88.0,30000,%
HS_RM5201G_EAV_MOD_TL,5606.490625.TL3,HS_RM5201G_EAV_MOD,490625.AO6.Present_Value,2020-06-02 14:30:02,86.0,30000,%
HS_RM5201G_SAV_DP_TL,5606.490625.TL4,HS_RM5201G_SAV_DP,490625.AI1.Present_Value,2020-06-02 14:29:40,85.0,30000,Pa
HS_RM5201G_SAV_FBK_TL,5606.490625.TL5,HS_RM5201G_SAV_FBK,490625.AI2.Present_Value,2020-06-02 14:29:41,86.0,30000,L/s
HS_RM5201G_EAV_DP_TL,5606.490625.TL6,HS_RM5201G_EAV_DP,490625.AI3.Present_Value,2020-06-02 14:29:36,85.0,30000,Pa
HS_RM5201G_EAV_FBK_TL,5606.490625.TL7,HS_RM5201G_EAV_FBK,490625.AI4.Present_Value,2020-06-02 14:29:37,86.0,30000,L/s
HS_RM5201G_RMDP_TL,5606.490625.TL8,HS_RM5201G_RMDP,490625.AI5.Present_Value,2020-06-02 14:29:38,83.0,30000,Pa
HS_RM5201G_SAT_TL,5606.490625.TL9,HS_RM5201G_SAT,490625.AI6.Present_Value,2020-06-02 14:29:38,82.0,30000,°C
HS_RM5201G_RMT_TL,5606.490625.TL10,HS_RM5201G_RMT,490625.AI101.Present_Value,2020-06-02 14:29:39,82.0,30000,°C
HS_RM5201G_RMT_SP_TL,5606.490625.TL11,HS_RM5201G_RMT_SP,490625.AV1.Present_Value,2020-06-02 14:30:06,85.0,30000,°C
HS_RM5201G_EXH_FLOW_SP_OCC_MIN_AV_TL,5606.490625.TL12,HS_RM5201G_EXH_FLOW_SP_OCC_MIN_AV,490625.AV3.Present_Value,2020-06-02 14:30:00,92.0,1000,L/s
HS_RM5201G_EXH_FLOW_SP_OCC_MAX_AV_TL,5606.490625.TL13,HS_RM5201G_EXH_FLOW_SP_OCC_MAX_AV,490625.AV4.Present_Value,2020-06-02 14:30:01,92.0,1000,L/s
HS_RM5201G_EXH_FLOW_SP_UNOCC_AV_TL,5606.490625.TL14,HS_RM5201G_EXH_FLOW_SP_UNOCC_AV,490625.AV5.Present_Value,2020-06-02 14:30:02,91.0,1000,L/s
HS_RM5201G_EXH_FLOW_SP_AV_TL,5606.490625.TL15,HS_RM5201G_EXH_FLOW_SP_AV,490625.AV6.Present_Value,2020-06-02 14:30:03,89.0,30000,L/s
HS_RM5201G_SUP_FLOW_OFFSET_SETPOINT_AV_TL,5606.490625.TL16,HS_RM5201G_SUP_FLOW_OFFSET_SETPOINT_AV,490625.AV8.Present_Value,2020-06-02 14:30:05,93.0,30000,L/s
HS_RM5201G_SUP_FLOW_SETPOINT_AV_TL,5606.490625.TL17,HS_RM5201G_SUP_FLOW_SETPOINT_AV,490625.AV9.Present_Value,2020-06-02 14:30:07,91.0,30000,L/s
HS_RM5201G_SUPPLY_CALCULATED_AV_TL,5606.490625.TL18,HS_RM5201G_SUPPLY_CALCULATED_AV,490625.AV30.Present_Value,2020-06-02 14:30:29,91.0,30000,L/s
HS_RM5201G_EXHAUST_CALCULATED_AV_TL,5606.490625.TL19,HS_RM5201G_EXHAUST_CALCULATED_AV,490625.AV31.Present_Value,2020-06-02 14:30:30,91.0,30000,L/s
HS_RM5201G_SAT_SP_TL,5606.490625.TL20,HS_RM5201G_SAT_SP,490625.AV32.Present_Value,2020-06-02 14:30:31,85.0,30000,°C
HS_RM5201G_TOTAL_OFFSET_CALCULATED_AV_TL,5606.490625.TL21,HS_RM5201G_TOTAL_OFFSET_CALCULATED_AV,490625.AV36.Present_Value,2020-06-02 14:30:32,93.0,30000,L/s
HS_RM5201G_RMT_HEATING_CO_TL,5606.490625.TL22,HS_RM5201G_RMT_HEATING_CO,490625.CO1.Present_Value,2020-06-02 14:30:55,89.0,500,Units not found
HS_RM5201G_SAV_SAT_CO_TL,5606.490625.TL23,HS_RM5201G_SAV_SAT_CO,490625.CO2.Present_Value,2020-06-02 14:30:56,88.0,500,Units not found
HS_RM5201H_SAV_DP_TL,5606.490626.TL1,HS_RM5201H_SAV_DP,490626.AI1.Present_Value,2020-06-02 14:31:23,85.0,30000,Pa
HS_RM5201H_SAV_FBK_TL,5606.490626.TL2,HS_RM5201H_SAV_FBK,490626.AI2.Present_Value,2020-06-02 14:31:50,86.0,30000,L/s
HS_RM5201H_EAV_DP_TL,5606.490626.TL3,HS_RM5201H_EAV_DP,490626.AI3.Present_Value,2020-06-02 14:31:51,85.0,30000,Pa
HS_RM5201H_EAV_FBK_TL,5606.490626.TL4,HS_RM5201H_EAV_FBK,490626.AI4.Present_Value,2020-06-02 14:31:44,86.0,30000,L/s
HS_RM5201H_RMDP_TL,5606.490626.TL5,HS_RM5201H_RMDP,490626.AI5.Present_Value,2020-06-02 14:31:42,83.0,30000,Pa
HS_RM5201H_SAT_TL,5606.490626.TL6,HS_RM5201H_SAT,490626.AI6.Present_Value,2020-06-02 14:31:44,82.0,30000,°C
HS_RM5201H_RMT_TL,5606.490626.TL7,HS_RM5201H_RMT,490626.AI101.Present_Value,2020-06-02 14:31:45,82.0,30000,°C
HS_RM5201H_RMH_TL,5606.490626.TL8,HS_RM5201H_RMH,490626.AI103.Present_Value,2020-06-02 14:31:46,82.0,30000,%RH
HS_RM5201H_CO2_TL,5606.490626.TL9,HS_RM5201H_CO2,490626.AI104.Present_Value,2020-06-02 14:31:47,82.0,30000,ppm
HS_RM5201H_MD_TL,5606.490626.TL10,HS_RM5201H_MD,490626.BI105.Present_Value,2020-06-02 14:32:12,81.0,0,Units not found
HS_RM5201H_RMT_SP_TL,5606.490626.TL11,HS_RM5201H_RMT_SP,490626.AV1.Present_Value,2020-06-02 14:31:49,85.0,30000,°C
HS_RM5201H_EXH_FLOW_SP_AV_TL,5606.490626.TL12,HS_RM5201H_EXH_FLOW_SP_AV,490626.AV6.Present_Value,2020-06-02 14:32:10,89.0,30000,L/s
HS_RM5201H_SUP_FLOW_OFFSET_SETPOINT_AV_TL,5606.490626.TL13,HS_RM5201H_SUP_FLOW_OFFSET_SETPOINT_AV,490626.AV8.Present_Value,2020-06-02 14:32:12,93.0,30000,L/s
